"Product Name",Type,SKU,"Attribute Set Name","Skin Concern(s)","Benefits - Quiz",status,qty
"Fine Lines / Dry/Normal / Most/All / Cyto",simple,"Fine Lines / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"24 Hour Pimple Punisher",simple,10130,"Kate Somerville Acne Treatments","Anti-Aging & Acne;Acne",,enabled,551
"CytoCell Dark Circle Corrective Eye Cream Travel Size (Complimentary Gift)",simple,16101,"Kate Somerville",,,disabled,0
"Under the Mistletoe Holiday Set",simple,10144,"Kate Somerville","All Skin Types",,disabled,0
"Merry Must-Haves Holiday Set",simple,10145,"Kate Somerville","Anti-Aging;All Skin Types",,disabled,0
"Glow in the New Year Holiday Set",simple,10146,"Kate Somerville","All Skin Types",,disabled,0
"Refinery29 Winter Kit",simple,10150,"Kate Somerville","All Skin Types",,disabled,0
"Somerville360® Face Self Tanning Pads-12 pack",simple,10140,"Kate Somerville","All Skin Types",,enabled,972
"ExfoliKate Body Intensive Exfoliating Treatment (A Halloween Treat)",simple,16274,"Kate Somerville","All Skin Types",,enabled,431
"Quench Oil Free Hydrating Face Serum",simple,10139,"Kate Somerville Serums",Anti-Aging;Oily,,enabled,242
"CytoCell Dermal Energizing Treatment (Complimentary Gift)",simple,16103,"Kate Somerville",,,disabled,104
"Quench Oil Free Hydrating Face Serum (Sample)",simple,39014,"Kate Somerville",Anti-Aging;Dry,,enabled,622
"Age Defense Duo",simple,10155,"Kate Somerville",Anti-Aging,,enabled,912
"Fresh & Flawless Duo",simple,10156,"Kate Somerville","Anti-Aging & Acne;Acne",,disabled,0
"Brighten Up Duo",simple,10154,"Kate Somerville",Anti-Aging;Discoloration,,disabled,0
"True Lash Lash Enhancing Eye Makeup Remover (Complimentary Gift)",simple,16110,"Kate Somerville",,,disabled,0
"Kate's Skin Solutions",simple,10157,"Kate Somerville",Anti-Aging,,disabled,0
"DermalQuench Liquid Lift Advanced Wrinkle Treatment with HydraFill Complex",simple,10143_OLDDONOTUSE,"Kate Somerville Anti Aging Treatments",Anti-Aging,,disabled,6069
"Somerville Glow to Go",simple,10152,"Kate Somerville","All Skin Types",,disabled,0
"Quench Hydrating Face Serum (travel-size)",simple,16049,"Kate Somerville",Anti-Aging;Dry,,enabled,0
"HydraKate® Line Release Face Serum (travel-size)",simple,16059,"Kate Somerville",Anti-Aging;Oily,,enabled,0
"Total Vitamin Antioxidant Face Serum (Complimentary Travel-Size Gift)",simple,16063,"Kate Somerville","Anti-Aging;All Skin Types",,disabled,0
